workerid,proliferate.condition,time_in_minutes,error
1677,main,6.531933333333333,
1119,main,19.1486,
1028,main,7.134516666666666,
1491,main,5.8898,
1637,main,5.29295,
1144,main,3.9873333333333334,
1621,main,2.7902833333333334,
1241,main,8.814916666666667,
1277,main,6.14105,
1089,main,5.4238,
1307,main,5.622116666666667,
1371,main,11.647383333333334,
1597,main,5.605216666666666,
1446,main,2.59465,
993,main,5.810233333333334,
1427,main,9.489516666666669,
1023,main,11.1715,
1690,main,7.585516666666667,
1404,main,12.040966666666666,
1189,main,13.385783333333332,
1616,main,5.482066666666666,
1349,main,7.72725,
1219,main,6.242766666666666,
1646,main,7.964083333333333,
1203,main,4.607783333333333,
1360,main,8.328616666666667,
1057,main,6.18895,
1024,main,9.776316666666666,
1626,main,3.4769666666666668,
1602,main,5.5694,
1622,main,5.4286,
1664,main,4.6851666666666665,
1582,main,14.690133333333334,
1382,main,6.3851,
1020,main,3.867166666666667,
1497,main,5.355033333333333,
1037,main,4.524366666666666,
1200,main,10.383433333333333,
1546,main,4.240183333333333,
1409,main,7.847133333333334,
1149,main,7.639883333333334,
1517,main,7.125566666666667,
1661,main,8.067983333333334,
982,main,8.699566666666666,
1032,main,4.228683333333334,
1461,main,3.4963333333333333,
1399,main,2.96635,
1030,main,8.600066666666667,
1056,main,3.01965,
1253,main,2.9082666666666666,
980,main,5.7775,
1134,main,18.225416666666668,
1129,main,5.3359,
1438,main,4.262716666666667,
1107,main,10.296116666666666,
1070,main,9.4304,
1697,main,15.229533333333332,
1136,main,5.900366666666667,
1443,main,5.9963,
1680,main,4.5119,
994,main,7.264266666666667,
1048,main,9.0826,
1420,main,4.6662333333333335,
1199,main,7.168733333333333,
1182,main,3.9798,
1137,main,4.82895,
1388,main,5.049083333333333,
1326,main,14.025316666666669,
1397,main,4.91145,
1271,main,10.448733333333331,
1698,main,12.684916666666666,
1319,main,12.219733333333334,
1314,main,15.771116666666666,
1631,main,6.5234,
1440,main,3.4867833333333333,
1693,main,5.283316666666667,
1623,main,6.189633333333333,
1035,main,27.130583333333337,
1145,main,8.84875,
1098,main,11.50355,
1332,main,6.469683333333333,
1541,main,5.401266666666666,
1500,main,5.767833333333333,
1536,main,5.442383333333333,
1248,main,6.793183333333333,
