workerid,proliferate.condition,audio,condition,face,first,image,race/gender,response,slide_number,slide_type,trial_num,subject_information.affiliation,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.problems,subject_information.race,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
910,pilot,stims/audio_stims/F1_Script2_1.wav,mismatch,stims/face_stims/wmfaces/wFace7.png,Ethan,,male_white,0.07,,,7,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
910,pilot,stims/audio_stims/M2_Script2_2.wav,match,stims/face_stims/bmfaces/bFace12.png,Lamar,,male_black,0.65,,,8,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
910,pilot,stims/audio_stims/M1_Script2_1.wav,mismatch,stims/face_stims/wffaces/fFace4.png,Emily,,female_white,0,,,9,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
910,pilot,stims/audio_stims/F2_Script2_2.wav,match,stims/face_stims/wffaces/fFace2.png,Carrie,,female_white,0.73,,,10,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
910,pilot,stims/audio_stims/F2_Script2_1.wav,match,stims/face_stims/wffaces/fFace1.png,Anne,,female_white,0.67,,,11,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
910,pilot,stims/audio_stims/M2_Script1_1.wav,mismatch,stims/face_stims/bffaces/bfFace1.png,Ebony,,female_black,0,,,12,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
910,pilot,stims/audio_stims/M2_Script2_1.wav,mismatch,stims/face_stims/wffaces/fFace3.png,Samantha,,female_white,0,,,13,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
910,pilot,stims/audio_stims/M2_Script1_2.wav,match,stims/face_stims/wmfaces/wFace5.png,Peter,,male_white,0.81,,,14,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
910,pilot,stims/audio_stims/F1_Script1_1.wav,mismatch,stims/face_stims/wmfaces/wFace12.png,Brad,,male_white,0,,,15,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
914,pilot,,,,,Elizabeth,,"[0, 'elizabeth']",1,bot_check,,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/F2_Script1_2.wav,mismatch,stims/face_stims/wmfaces/wFace3.png,Ryan,,male_white,0.18,,,0,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/F1_Script2_2.wav,match,stims/face_stims/bffaces/bfFace5.png,Tiara,,female_black,0.78,,,1,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/M1_Script1_1.wav,match,stims/face_stims/bmfaces/bFace10.png,Rasheed,,male_black,0.93,,,2,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/M1_Script2_1.wav,match,stims/face_stims/wmfaces/wFace4.png,Dustin,,male_white,0.99,,,3,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/M2_Script1_2.wav,mismatch,stims/face_stims/wffaces/fFace1.png,Rebecca,,female_white,0.09,,,4,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/F2_Script2_2.wav,match,stims/face_stims/wffaces/fFace3.png,Jill,,female_white,0.92,,,5,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/M2_Script2_1.wav,mismatch,stims/face_stims/bffaces/bfFace4.png,Ebony,,female_black,0.04,,,6,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/M1_Script1_2.wav,mismatch,stims/face_stims/wffaces/fFace2.png,Rachel,,female_white,0.02,,,7,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/F1_Script1_1.wav,mismatch,stims/face_stims/wmfaces/wFace8.png,Brad,,male_white,0.19,,,8,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/F2_Script1_1.wav,match,stims/face_stims/bffaces/bfFace3.png,Latoya,,female_black,0.89,,,9,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/M2_Script1_1.wav,mismatch,stims/face_stims/bffaces/bfFace6.png,Shaniqua,,female_black,0.03,,,10,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/F2_Script2_1.wav,match,stims/face_stims/wffaces/fFace4.png,Hannah,,female_white,0.9,,,11,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/F1_Script2_1.wav,mismatch,stims/face_stims/bmfaces/bFace8.png,Marquis,,male_black,0.03,,,12,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/F1_Script1_2.wav,mismatch,stims/face_stims/bmfaces/bFace12.png,Hakeem,,male_black,0.04,,,13,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/M1_Script2_2.wav,match,stims/face_stims/bmfaces/bFace9.png,Jamal,,male_black,0.94,,,14,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/M2_Script2_2.wav,match,stims/face_stims/wmfaces/wFace5.png,Roger,,male_white,0.94,,,15,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
